competiton_id,competition_name,country_name,country_id,sport
1,Belgium Jupiler League,Belgium,1,football
10257,Italy Serie A,Italy,10257,football
13274,Netherlands Eredivisie,Netherlands,13274,football
15722,Poland Ekstraklasa,Poland,15722,football
1729,England Premier League,United Kingdom of Great Britain and Northern Ireland,1729,football
19694,Scotland Scottish Premier League,United Kingdom of Great Britain and Northern Ireland,1729,football
17642,Portugal Liga ZON Sagres,Portugal,17642,football
21518,Spain LIGA BBVA,Spain,21518,football
24558,Switzerland Super League,Switzerland,24558,football
4769,France Ligue 1,France,4769,football
7809,Germany 1. Bundesliga,Germany,7809,football
